quarter,product,demand_wafers,revenue_millions,confidence_interval_low,confidence_interval_high,market_segment,process_node,avg_selling_price_usd
2023-03-31,Mobile_SoC_3nm,25320,316.5,20762,29877,Mobile,3nm,12500
2023-03-31,Mobile_SoC_5nm,31384,266.76,25735,37033,Mobile,5nm,8500
2023-03-31,HPC_CPU_5nm,12900,193.5,10578,15222,HPC,5nm,15000
2023-03-31,HPC_GPU_5nm,11265,202.77,9237,13293,HPC,5nm,18000
2023-03-31,Automotive_5nm,5600,36.4,4592,6608,Automotive,5nm,6500
2023-03-31,IoT_7nm,15824,66.46,12976,18673,IoT,7nm,4200
2023-06-30,Mobile_SoC_3nm,15197,189.96,12462,17933,Mobile,3nm,12500
2023-06-30,Mobile_SoC_5nm,27317,232.2,22400,32234,Mobile,5nm,8500
2023-06-30,HPC_CPU_5nm,9842,147.63,8071,11614,HPC,5nm,15000
2023-06-30,HPC_GPU_5nm,9634,173.41,7900,11368,HPC,5nm,18000
2023-06-30,Automotive_5nm,4095,26.62,3358,4832,Automotive,5nm,6500
2023-06-30,IoT_7nm,15119,63.5,12397,17840,IoT,7nm,4200
2023-09-30,Mobile_SoC_3nm,19246,240.57,15781,22710,Mobile,3nm,12500
2023-09-30,Mobile_SoC_5nm,22160,188.36,18171,26149,Mobile,5nm,8500
2023-09-30,HPC_CPU_5nm,8461,126.92,6938,9984,HPC,5nm,15000
2023-09-30,HPC_GPU_5nm,8810,158.58,7224,10396,HPC,5nm,18000
2023-09-30,Automotive_5nm,2780,18.07,2280,3281,Automotive,5nm,6500
2023-09-30,IoT_7nm,13242,55.62,10858,15625,IoT,7nm,4200
2023-12-31,Mobile_SoC_3nm,22960,287.0,18827,27093,Mobile,3nm,12500
2023-12-31,Mobile_SoC_5nm,31509,267.83,25838,37181,Mobile,5nm,8500
2023-12-31,HPC_CPU_5nm,13074,196.11,10721,15427,HPC,5nm,15000
2023-12-31,HPC_GPU_5nm,10070,181.27,8258,11883,HPC,5nm,18000
2023-12-31,Automotive_5nm,6639,43.15,5444,7834,Automotive,5nm,6500
2023-12-31,IoT_7nm,16456,69.11,13494,19418,IoT,7nm,4200
2024-03-31,Mobile_SoC_3nm,23154,289.43,18986,27322,Mobile,3nm,12500
2024-03-31,Mobile_SoC_5nm,37988,322.9,31150,44826,Mobile,5nm,8500
2024-03-31,HPC_CPU_5nm,16237,243.55,13314,19160,HPC,5nm,15000
2024-03-31,HPC_GPU_5nm,12411,223.4,10177,14645,HPC,5nm,18000
2024-03-31,Automotive_5nm,5467,35.54,4483,6451,Automotive,5nm,6500
2024-03-31,IoT_7nm,21536,90.45,17660,25413,IoT,7nm,4200
2024-06-30,Mobile_SoC_3nm,33625,420.31,27572,39677,Mobile,3nm,12500
2024-06-30,Mobile_SoC_5nm,30624,260.31,25112,36137,Mobile,5nm,8500
2024-06-30,HPC_CPU_5nm,11521,172.82,9447,13595,HPC,5nm,15000
2024-06-30,HPC_GPU_5nm,10324,185.83,8465,12182,HPC,5nm,18000
2024-06-30,Automotive_5nm,5065,32.92,4154,5977,Automotive,5nm,6500
2024-06-30,IoT_7nm,20061,84.26,16450,23672,IoT,7nm,4200
2024-09-30,Mobile_SoC_3nm,24878,310.97,20400,29356,Mobile,3nm,12500
